1	אשׁקוקא	[@N] 1) a fictitious word for an oath
2	גבורה	[@N] 1) might
3	קטה	[@V01] 1) "he profited" (in Greek)
4	קטו	[@N] 1) stick, rod
5	תימחה	[@N] 1) soft bark
6	יסוד	[@N] 1) foundation
7	קטל	[@V05] 1) to be killed (pl.) [@V04] 1) to be killed 1.2) to be executed [@V01] 1) to kill 3.1) to pluck off 3.2) to cut (reeds, trees, etc.) [@V02] 1) to kill many 2) to order killed, to execute
8	אקראי	[@A] 1) accidental, incidental 2) דאקראי : temporary
9	קטן	[@V01] 1) to be small, thin 2) to waste away
10	קטט	[@V02] 1) to sing in a certain manner
11	אנפק	[@N] 1) unmixed wine 2) (uncertain)
12	סבויה	[@N] 1) wine retailer
13	קבוותא	[@N] 1) ק' דדשׁא : door-frames
14	קטף	[@N] 1) balsam, resin [@V01] 1) to pluck, to harvest 3) to droop(?) 4) to pinch dough [@V02] 2) to disturb
15	קטר	[@V04] 1) to be bound together [@V01] 1) to bind, tie on, tie together 1.1.1) +<i>tāḡ</i> : to put on the crown 2) to frame, shape, construct [@N] 1) knot 2) joint 2.1) node 3.5) restriction
16	יסור	[@N] 1.1) frequently as pl. tant.
17	מרדו#2	[@N] 1) rebellion
18	קבוטר	[@N] 1) bird (Pers.)
19	לבר מן	[@p] 1) outside of 2) except for 3) beyond
20	ניר	[@N] 1) yoke 1.1) weaver's beam 1.2) tie, connector
21	טריטי	[@A] 1) a gentilic
22	ניס	[@N] 1.1) plural as collective
23	פירוז אנדרפטא	[@N] 1) (zool.) a permitted bird
24	מכנשׁה	[@N] 1) gathering, collection
25	פרובי	[@N] 1) halter
26	ברישׁ	[@X] 1) first 2) at the head [@p] 2) at the head of 3) fig.: main cause of
27	אשׁתומא	[@N] 1) confusion(???)
28	בעירי	[@A] 2) (of an animal) domesticated
29	דישׁה	[@N] 2.1) threshing, threshing floor
30	ספסיר	[@N] 1) sword or dagger
31	זווא	[@N] 1) pair 1.1) couple 3) scissors
32	אידי	[@R] 1) this one
33	אידך	[@R] 1) the other 2) the remainder (i.e., the other part)
34	סמאל	[@V09] 1) to place on the left [@N] 1) left hand
35	זיותן	[@A] 2) fig. : distinguished, splendid, haughty
36	סיכר	[@N] 1) dam
37	ניב	[@N] 1) large tooth
38	ניח	[@A] 2) easy 2.2) convenient 2.2.1) (logic) as a technical term of logical argument:: presenting no problems to one's opinion 3) placid, soft 4.1) to be wanted by someone 4.2) to be well/better off 4.3) to be satisfactory to someone: see s.v. <i>nyḥˀ</i> adv. [@N] 1) resting, comfort, quiet 2) peacefulness 2.1) נייח נפשׁא : satisfaction, peace, ease 3.1.1) w. ל-: to be satisfactory to someone : see s.v. <i>nyḥ</i> adv.
39	חסר	[@V01] 1) to be lacking [@V02] 1) to make to lack 1.1) to deprive
40	דכוות	[@p] 1) like
41	אוכלא#2	[@N] 1) laundry vat
42	אוכלא#3	[@N] 1) an eye disease
43	חסס	[@V02] 1) to be apprehensive, uncertain
44	סלק	[@V05] 2.1) to be removed 3) to be defeated in an argument [@N] 2) beet, beetroot [@V01] 1) to go up 1.2.2) to rise in rank 1.2.3) to go to a higher authority 1.2.4) to amount to, total 2) to result 2.1.1) to be finished 2.1.2) to fall to someone's lot 3) to travel 3.1) to travel from a lower elevation to a higher one 3.1.1) in particular, to Eretz Israel 3.1.2) fig.: to a place of higher status 4.1.3) דעתא [@V03] 1) to make ascend, bring upward 1.1.1) to produce 1.1.3) to offer up 1.1.4) to bring from Babylonia to Eretz Israel 1.2.3) to produce a claim against 1.2.6) to promote in rank 2.2) to close up a wound or sore 3) to complete 6.1) <syr>(al bAleh</syr> or דעתיה to think about 6.3) <i>šm</i> : to give a name 6.4) שׂרטון : to produce alluvial soil 7) to cast lots 8) to remove from a position [@V02] 1) to make to ascend, raise 1.1) to allow to ascend 2) to remove 2.2) to prevail over someone 2.3) to postpone 2.4) to eliminate a mortgage-holding creditor 2.4.1) + נפשׁא : to renounce a claim
45	דפתר	[@N] 1) record book
46	מזבלא	[@N] 1) matting
47	פריטין	[@N] 1) small coins 2) money
48	בוצינ#3	[@N] 1) pivot/hole
49	בוצינ#2	[@N] 1) (bot.) pumpkin, gourd 3) fig.: pivot
50	חמצין	[@N] 1) pl. chickpeas
51	משׁניו	[@N] 2) (med.) strabismus
52	חסם	[@V05] 1) to become strong [@A] 2) hard one
53	חסל	[@V01] 1) to be completed, to be finished, to come to an end 3.2) to complete 3.2.1) as co-verb : to consent
54	חסד	[@N] 1) devotion, devout love
55	חביל#2	[@N] 1) 71
56	שׁמגן	[@N] 1) strong vinegar
57	קולקסייה	[@N] 1) (bot.) colocasia
58	קטע	[@N] 1) segment, fragment [@V01] 1) to cut off, to cut down 2) to cut into pieces 2.1) lit. 2.1.1.1) to stipulate, agree on 2.2) fig. 2.2.1) to divide into sections [@V02] 1) to cut off 3) to divide into sections
59	ארקפט	[@N] 1) couch
60	ערכ#2	[@V05] 1) to be evaluated for dedicatory value [@V02] 1) to evaluate dedicatory value
61	רפשׁ	[@V05] 1) to become soiled [@V01] 2) to throw down [@V02] 1) to break up clods
62	פטירבולי	[@N] 1) magistrate
63	ארכא#2	[@N] 1) pl. meshes (?)
64	אמתי	[@c] 1) when, whenever 2) when ? 3.4) דאימת : from any time
65	צפה	[@N] 1) rush mat
66	נימ#2	[@N] 3) strand of hair
67	דיר#2	[@N] 1) inhabitant 2) proselyte
68	פרן	[@V03] 1) to give marriage gifts (bride-price) 2) to provide a dowry [@N] 1) marriage settlement (<i>ketubbah</i>) 2) marriage deed
69	צפי	[@V01] 1) to look out, to observe 1.1) to foresee [@V02] 1) to look out for
70	פרם	[@V04] 1) to be split [@V01] 1) to cut [@N] 1) chopped food
71	קוקני	[@N] 1) urn
72	פרך	[@V05] 2) to be crushed to pieces [@V04] 1) to be crumbled, crushed by hand 2) fig. : to be refuted [@V01] 1) to crumble, crush something 1.1) p.p. crushed 2) fig. : to raise an objection [@V02] 1.1) to remove husks by rubbing
73	פרי	[@V01] 1.1) to increase [@N] 1) fruit, produce
74	פרט	[@V01] 1.1) to separate 5) to specify
75	פרח	[@A] 2) transient 2.1) (camel) fast running [@V01] 1) to fly 1.1.1) to depart suddenly 3) to crawl 4) to vibrate [@V03] 2) to make to fly 3) to refute [@N] 1.1) (bot.) caper tree
76	עשׁי	[@V02] 1) to force 2) to influence
77	גולגיק	[@N] 1) (Roman) shoe
78	פרד	[@V05] 1) to flee 2) to be scattered [@N] 1) mule
79	בסר	[@N] 1) flesh 3) + <i>wdm</i> : human being [@V02] 1) to treat with disdain constantly 2.1) to put to shame
80	עשׁן	[@V05] 1) to be made strong
81	אקרוקה	[@N] 1) frog
82	קקופרגמון	[@N] 1) ill-behaved person
83	לחלוחי	[@N] 1) fish brine (?)
84	פרת	[@V05] 1) to be split 1.1) to be separated [@V02] 2) fig.: to speak disdainfully of someone (comp. English 'to take apart')
85	ייסי חלי	[@N] 1) (bot.) a type of bitter herb
86	בסם	[@V05] 1) to be made sweet 4.1) to become intoxicated [@N] 1) spice, perfume 1.1) often pl. tant. [@V02] 1.1) to perfume 2) fig.: to cause joy
87	טרי#4	[@N] 1) מי ט' : ink (?)
88	פרץ	[@A] 1) lustful, licentious [@V01] 1) to make a breach 2) to behave licentiously [@N] 1) hole, gap
89	בסי	[@V02] 1) to despise (?), insult (?)
90	פרע	[@V04] 1.1) to be punished 2) to accept payment [@V01] 1) to pay back 1.1) the debt 1.2) the creditor
91	טרי#3	[@N] 1) striking upon
92	שׁובלה#2	[@N] 1) current
93	בחשׁי	[@X] 1) quietly
94	עלילה	[@N] 1) false charge
95	חומתא	[@N] 1) (bot.) a plant name
96	שׁחר	[@N] 1) early morning
97	שׁחק	[@V04] 1) to be ground up 2) fig.: to be depressed, upset [@V01] 1) to grind 2.2.1) p.p. depressed (mental state) [@V02] 4) to curse a deceased person (i.e. to say שׁחיק טמייה: may his bones be crushed
98	כרכושׁה	[@N] 1) weasel
99	גידרון	[@N] 1) young ass
100	בעיר	[@N] 1) collective: animals, beasts
101	אשׁי#2	[@N] 1) wall
102	אשׁי#3	[@N] 1) metal plaque
103	פרסה#2	[@N] 1) parasang
104	דירה#2	[@N] 1) dwelling (structure)
105	רציץ	[@A] 1) bruised
106	ברדא	[@N] 1) a cosmetic compound
107	שׁחם	[@V01] 1) to be black [@N] 1) blackness
108	שׁחל	[@V01] 1.1) to exude moisture 2) to flow 3.1) to draw something out of a liquid 5) p.p. see s.v. <i>šḥyl</i> adj.
109	שׁחי	[@V01] 1.1) to waste away 3) fig.: to cower [@N] 1.1) בי שׁחייה
110	עמרני	[@N] 1) wool-bearing stuff
111	מרו	[@N] 1) domination, dominion
112	מרה	[@N] 1) mistress
113	צפצפ#2	[@V09] 2) to squeak (mice)
114	מרד	[@A] 1) rebellious [@V04] 1) to resist 2) to run away [@V01] 1) to rebel, resist authority 1.1) to resist 2) to escape
115	מרג	[@N] 1) meadow
116	מרי	[@V04] 1) to quarrel 2) to retreat [@V03] 1) to rebel [@N] 1) master 1.1) human 1.2) divine 2) owner 3) title of respect 3.2) w. first pers. suffix (מר, מור) in respectfully addressing a man : sir 3.2.1) the previously mentioned rabbinic master 4) in the construct state as the head of many compound expressions 4.1) chief of ... 4.2) owner of ... 4.3) master of (i.e. specialist in) ... 4.4) an element of many PN's
117	ניצפא#2	[@N] 1) a cantillation sign, possibly <i>zaqef</i>
118	פשׁור	[@N] 2) exorcist 4.1) tepid
119	קינתור	[@N] 1) (pl.) rebuke
120	דומי	[@N] 2.1) similar thing 2.2) + <i>d</i>_ : just as, just like
121	יסר	[@V05] 1) to suffer
122	ביית	[@A] 1) having spent the night
123	יסף	[@V06] 1) + <i> ˁal </i> : to be added to [@V03] 1) to add
124	פשׁוט	[@N] 1) plain sense 1.1) study
125	בייה	[@N] 1) injustice 2) against one's will
126	בייך	[@N] 1) head-dress
127	ביין	[@N] 1) palm branch
128	גלמה	[@N] 2) valley
129	מרק	[@V05] 2) to be paid [@A] 1) diluted or the like [@V02] 1) to pay off a claim or debt
130	מרס	[@V01] 2) to crush
131	מרע	[@V01] 1) to be sick [@V03] 1) to make sick [@N] 1) sickness 2) שׁכיב מרע : adj. : see s.v. <i>škyb</i>
132	נדוי	[@N] 1) excommunication
133	ריחן	[@N] 1) odor, fragrance 2) pl. : aromatic spices
134	מרר	[@V01] 1) to be bitter [@N] 1) bitterness 2) pl. bitter herbs
135	מדר ומזיג	[@N] 1) (zool.) a permitted bird
136	תני	[@V04] 1) to repeated 1.1) of a learned tradition [@N] 1) stipulated condition 2) (gram.) conditional form [@V01] 1) to repeat 2.2.1) to teach a tannaitic tradition [@V03] 2) to teach a tannaitic tradition [@V02] 1) to repeat, to teach 1.1) to learn by repetition
137	תנן	[@N] 1) smoke [@V02] 1) to fumigate
138	אבק	[@V01] 1) to attach 2) p.p. metaph.: embracing, attached to (esp. idolatry) [@N] 1) dust
139	אבר	[@p] 1) on top of [@N] 1) limb 1.1) of a human being 1.2) of an animal 2) arm 2.1) wing (of birds, fig.: wind) 2.2) euph.: male sexual organ
140	מרטק	[@N] 1) whip
141	תרגום	[@N] 1) translation 1.1) Targum
142	תנח	[@V03] 1) to place, put down 2) to put on phylacteries
143	זרנוק	[@N] 1) skin bag for liquids 2) an irrigation device, hose
144	יטון	[@A] 1) on the verge of death
145	פרציד	[@N] 1) kernel, seed
146	כנ#2	[@N] 1) a small vessel
147	כוב#3	[@N] 1) roasted dough
148	כוב#2	[@N] 1) pitcher 2) cup, drinking jar 2.1) בי כובי: tavern
149	מאמר	[@N] 1) speech 1.1) command
150	אבד	[@V04] 1) to be lost 1.1) w. <i>l_</i> + possessor : to lose [@V01] 1) to be lost, disappear 1.1) p.p. lost 1.4) w. <i>l_</i> + possessor : to lose something 2) to perish 2.1) to be transient, perishable 3) to be deprived of (w. d.o. or <i>mn</i>) [@V03] 1) to destroy, to ruin 2) to lose, to let go 2.1) to forfeit 2.2) to give up something [@V02] 1) to destroy, ruin 2) to lose something
151	אבו	[@N] 1) pole with an iron goad for scraping
152	אבט	[@N] 1) a type of food (?)
153	אבי	[@A] 1) patrician, noble
154	אבל	[@V04] 1) to mourn [@c] 1) but [@V01] 1) to mourn [@N] 1) mourning, grief
155	אבן	[@N] 1) stone 2) rock, stone as a material 3) gem
156	סורחן	[@N] 1) crime, guilt
157	צדע	[@N] 1) temple 1.1) side-burn
158	צדק	[@V03] 1) to justify
159	צדר	[@N] 1) coarse garment, chadur
160	דיקולי	[@N] 1) basket maker
161	מוניני	[@N] 1) brine
162	טלק	[@V05] 3) to be cast down 3.1) to be imposed [@V02] 1) to throw down
163	שׁירה#3	[@N] 1) remnant
164	פגע	[@N] 2) chance occurrence 3) affliction [@V01] 1) +<i>b_</i> : to meet 1.2.1) to attack verbally, disagree with 3) to disqualify [@V02] 1) to arrange a meeting
165	טלף	[@N] 1) hoof
166	טלע	[@V05] 1) to become lame [@V01] 1) to limp
167	טלם	[@V01] 3) to deceive
168	טלל	[@V05] 3.1) to be on top [@N] 3) ceiling [@V02] 1) to roof over 2) to cast shade on
169	פגם	[@V04] 1) to be injured 2) to be adversely affected [@V01] 1) to mutilate 3) fig.: to harm, affect adversely 3.1) of a document [@N] 1) defect
170	זיתא	[@N] 1) a type of alkali
171	טלי	[@A] 1) young 3) subst.: see s.vv. <i>ṭly, ṭlyh</i> n. [@N] 1) lamb 2) youth 2.1) servant
172	בני כופרא	[@N] 1) (?)
173	פגג	[@V01] 1) to be unripe
174	הלין	[@R] 1) these
175	מליח	[@A] 1) salty, salted
176	הליל	[@N] 1) (liturg.) the Hallel
177	הליך	[@R] 1) those
178	הובלילא	[@N] 1) one of the stomachs of a ruminant
179	טרפ#2	[@V04] 1) to be buffeted, to knocked about 2) to be troubled [@V01] 1) to strike 1.2) to chop up 1.3.1.1) to contest the validity of a decision 2.1) to hurl down 3) to seize for a debt
180	טרפ#3	[@V04] 1) to become <i>terefah</i> [@V01] 1) to make a <i>terefah</i> [@N] 2) document conferring the right of seizure
181	כסירה	[@N] 1) (uncertain)
