id	lemma	pure	translit	full_definition
H1	אָב	אב	ʼâb	[G:references: G1118,G2730,G3390,G3507,G3509,G3962,G3965,G3966,G3967,G3971] 1) father of an individual 2) of God as father of his people 3) head or founder of a household, group, family, or clan 4) ancestor 4a) grandfather, forefathers — of person 4b) of people 5) originator or patron of a class, profession, or art 6) of producer, generator (fig.) 7) of benevolence and protection (fig.) 8) term of respect and honour 9) ruler or chief (spec.) exegesis:a primitive word; explanation: father , in a literal and immediate, or figurative and remote application translation:chief, (fore-) father(-less), [idiom] patrimony, principal. Compare names in 'Abi-'.
H2	אַב	אב	ʼab	[G:references: G5,G912] 1) father exegesis:(Aramaic) corresponding to אָב H1 explanation:{ father } translation:father.
H3	אֵב	אב	ʼêb	[G:references: G1080,G2590,G4491] 1) freshness, fresh green, green shoots, or greenery exegesis:from the same as אָבִיב H24 ; explanation: a green plant translation:greenness, fruit.
H4	אֵב	אב	ʼêb	1) fruit, fresh, young, greening exegesis:(Aramaic) corresponding to אֵב H3 explanation:{ a green plant } translation:fruit.
H5	אֲבַגְתָא	אבגתא	ʼĂbagthâʼ	Abagtha = "God-given" 1) one of the seven eunuchs in the Persian court of Ahasuerus exegesis:of foreign origin; explanation: Abagtha , a eunuch of Xerxes translation:Abagtha.
H6	אָבַד	אבד	ʼâbad	[G:references: G3077] 1) perish, vanish, go astray, be destroyed 1a) (Qal) 1a1) perish, die, be exterminated 1a2) perish, vanish (fig.) 1a3) be lost, strayed 1b) (Piel) 1b1) to destroy, kill, cause to perish, to give up (as lost), exterminate 1b2) to blot out, do away with, cause to vanish, (fig.) 1b3) cause to stray, lose 1c) (Hiphil) 1c1) to destroy, put to death 1c1a) of divine judgment 1c2) object name of kings (fig.) exegesis:a primitive root; explanation:properly, to wander away , i.e. lose oneself ; by implication to perish (causative, destroy) translation:break, destroy(-uction), [phrase] not escape, fail, lose, (cause to, make) perish, spend, [idiom] and surely, take, be undone, [idiom] utterly, be void of, have no way to flee.
H7	אֲבַד	אבד	ʼăbad	1) to perish, vanish 1a) (P'al) shall perish 1b) (Aphel) destroy 1c) (Hophal) be destroyed exegesis:(Aramaic) corresponding to אָבַד H6 explanation:{properly, to wander away , i.e. lose oneself ; by implication to perish (causative, destroy)} translation:destroy, perish.
H8	אֹבֵד	אבד	ʼôbêd	[G:references: G1821,G2147] 1) destruction exegesis:active of participle of אָבַד H6 ; explanation:(concrete) wretched or (abstract) destruction translation:perish.
H9	אֲבֵדָה	אבדה	ʼăbêdâh	1) a lost thing, something lost exegesis:from אָבַד H6 ; Compare אֲבַדֹּה H10 . explanation:concrete, something lost ; abstract, destruction , i.e. Hades translation:lost.
H10	אֲבַדֹּה	אבדה	ʼăbaddôh	1) a lost thing, something lost, a perishing exegesis:the same as אֲבֵדָה H9 , miswritten for אֲבַדּוֹן H11 ; explanation: a perishing translation:destruction.
H11	אֲבַדּוֹן	אבדון	ʼăbaddôwn	[G:references: G3] 1) place of destruction, destruction, ruin, Abaddon exegesis:intensive from אָבַד H6 ; explanation:abstract, a perishing ; concrete, Hades translation:destruction.
H12	אַבְדָן	אבדן	ʼabdân	1) destruction exegesis:from אָבַד H6 ; explanation: a perishing translation:destruction.
H13	אׇבְדַן	אבדן	ʼobdan	1) destruction exegesis:from אָבַד H6 ; explanation: a perishing translation:destruction.
H14	אָבָה	אבה	ʼâbâh	1) to be willing, consent 1a) (Qal) 1a1) to be willing 1a2) to consent, yield to, accept 1a3) to desire exegesis:a primitive root; explanation: to breathe after , i.e. (figuratively) to be acquiescent translation:consent, rest content will, be willing.
H15	אָבֶה	אבה	ʼâbeh	1) entreat, longing, desire exegesis:from אָבָה H14 ; explanation: longing translation:desire.
H16	אֵבֶה	אבה	ʼêbeh	1) reed, papyrus ++++ Probably ships made of reeds or papyrus were the clipper sailing ships of those days because of their speed. exegesis:from אָבָה H14 (in the sense of bending toward); explanation: the papyrus translation:swift.
H17	אֲבוֹי	אבוי	ʼăbôwy	[G:references: G2351] 1) Oh!, Woe!, (exclamation of pain — indicates desire or uneasiness) exegesis:from אָבָה H14 (in the sense of desiring); explanation: want translation:sorrow.
H18	אֵבוּס	אבוס	ʼêbûwç	[G:references: G596,G5336] 1) crib, manger, feeding trough exegesis:from אָבַס H75 ; explanation: a manger or stall translation:crib.
H19	אִבְחָה	אבחה	ʼibchâh	1) slaughter, flesh, meat, slaughtered meat exegesis:from an unused root (apparently meaning to turn); explanation: brandishing of a sword translation:point.
H20	אֲבַטִּיחַ	אבטיח	ʼăbaṭṭîyach	1) watermelon, Egyptian fruit exegesis:of uncertain derivation; explanation: a melon (only plural) translation:melon.
H21	אֲבִי	אבי	ʼĂbîy	Abi = "my father" 1) mother of Hezekiah (cf H029) exegesis:from אָב H1 ; fatherly; explanation: Abi , Hezekiah's mother translation:Abi.
H22	אֲבִיאֵל	אביאל	ʼĂbîyʼêl	Abiel = "El (God) is (my) father" 1) Saul's grandfather exegesis:from אָב H1 and אֵל H410 ; father (i.e. possessor) of God; explanation: Abiel , the name of two Israelites translation:Abiel.
H23	אֲבִיאָסָף	אביאסף	ʼĂbîyʼâçâph	Abiasaph = "my father has gathered" 1) son (descendant) of Korah exegesis:from אָב H1 and אָסַף H622 ; father of gathering (i.e. gatherer); explanation: Abiasaph , an Israelite translation:Abiasaph.
H24	אָבִיב	אביב	ʼâbîyb	[G:references: G3501,G3936] 1) fresh, young barley ears, barley 2) month of ear-forming, of greening of crop, of growing green Abib, month of exodus and passover (March or April) exegesis:from an unused root (meaning to be tender); explanation: green , i.e. a young ear of grain ; hence, the name of the month Abib or Nisan translation:Abib, ear, green ears of corn (not maize).
H25	אֲבִי גִבְעוֹן	אבי גבעון	ʼĂbîy Gibʻôwn	Abi Gibon = "father of Gibeon" 1) site of great Bamah, location of the tabernacle of the Lord in the high place exegesis:from אָב H1 and גִּבְעוֹן H1391 ; father (i.e. founder) of Gibon; explanation: Abi-Gibon , perhaps an Israelite translation:father of Gibeon.
H26	אֲבִיגַיִל	אביגיל	ʼĂbîygayil	Abigail = "my father is joy" 1) wife of Nabal, then of David 2) sister of David exegesis:or shorter אֲבִיגַל H ; from אָב H1 and גִּיל H1524 ; father (i.e. source) of joy; explanation: Abigail or Abigal , the name of two Israelitesses translation:Abigal.
H27	אֲבִידָן	אבידן	ʼĂbîydân	Abidan = "my father is judge" 1) a prince (ruler) of Benjamin exegesis:from אָב H1 and דִּין H1777 ; father of judgment (i.e. judge); explanation: Abidan , an Israelite translation:Abidan.
H28	אֲבִידָע	אבידע	ʼĂbîydâʻ	Abida or Abidah = "my father knows" 1) fourth son of Midian and grandson of Abraham by his wife Keturah (after Sarah died) exegesis:from אָב H1 and יָדַע H3045 ; father of knowledge (i.e. knowing); explanation: Abida , a son of Abraham by Keturah translation:Abida, Abidah.
H29	אֲבִיָּה	אביה	ʼĂbîyâh	[G:references: G7] Abia or Abiah or Abijah = "Jehovah is (my) father" 1) king of Judah, son and successor of Rehoboam 2) second son of Samuel 3) son of Jeroboam the first, king of Israel 4) son of Becher, a Benjamite 5) head of a priestly house (one of the 24 Levite groups) 6) head of a priestly house (after the exile) 7) wife of Hezron 8) mother of Hezekiah (cf H021) exegesis:or prolonged אֲבִיָּהוּ H ; from אָב H1 and יָהּ H3050 ; father (i.e. worshipper) of Jah; explanation: Abijah , the name of several Israelite men and two Israelitesses translation:Abiah, Abijah.
H30	אֲבִיהוּא	אביהוא	ʼĂbîyhûwʼ	Abihu = "he is (my) father" 1) a son of Aaron destroyed for sacrificing strange fire to God exegesis:from אָב H1 and הוּא H1931 ; father (i.e. worshipper) of Him (i.e. God); explanation: Abihu , a son of Aaron translation:Abihu.
H31	אֲבִיהוּד	אביהוד	ʼĂbîyhûwd	[G:references: G10] Abihud = "my father is majesty" 1) son of Bela, a Benjamite exegesis:from אָב H1 and הוֹד H1935 ; father (i.e. possessor) of renown; explanation: Abihud , the name of two Israelites translation:Abihud.
H32	אֲבִיהַיִל	אביהיל	ʼĂbîyhayil	Abihail = "my father is might" 1) a Levite in Moses's time 2) a Gadite 3) father of Esther 4) wife of Abishur 5) wife of Rehoboam exegesis:or (more correctly) אֲבִיחַיִל H ; from אָב H1 and חַיִל H2428 ; father (i.e. possessor) of might; explanation: Abihail or Abichail , the name of three Israelites and two Israelitesses translation:Abihail.
H33	אֲבִי הָעֶזְרִי	אבי העזרי	ʼĂbîy hâ-ʻEzrîy	Abiezrite = "my father is help" 1) one of the family of Abiezer, a descendant of Joseph's son, Manasseh exegesis:from אֲבִיעֶזֶר H44 with the article inserted; father of the Ezrite; explanation: an Abiezrite or descendant of Abiezer translation:Abiezrite.
H34	אֶבְיוֹן	אביון	ʼebyôwn	[G:references: G102,G120,G318,G435,G560,G772,G1729,G3993,G4434,G5011] 1) in want, needy, chiefly poor, needy person 2) subject to oppression and abuse 3) needing help, deliverance from trouble, especially as delivered by God 4) general reference to lowest class exegesis:from אָבָה H14 , in the sense of want (especially in feeling); explanation: destitute translation:beggar, needy, poor (man).
H35	אֲבִיּוֹנָה	אביונה	ʼăbîyôwnâh	1) caper-berry-of stimulating desire exegesis:from אָבָה H14 ; explanation: provocative of desire ; the caper berry (from its stimulative taste) translation:desire.
H36	אֲבִיטוּב	אביטוב	ʼĂbîyṭûwb	Abitub = "my father is good(ness)" 1) son of Shaharaim, a Benjamite exegesis:from אָב H1 and טוּב H2898 ; father of goodness (i.e. good); explanation: Abitub , an Israelite translation:Abitub.
H37	אֲבִיטָל	אביטל	ʼĂbîyṭâl	Abital = "my father is (the) dew" 1) a wife of David exegesis:from אָב H1 and טַל H2919 ; father of dew (i.e. fresh); explanation: Abital , a wife of King David translation:Abital.
H38	אֲבִיָּם	אבים	ʼĂbîyâm	Abijam = "my father is the sea" or "Yah(u) is (my) father" 1) king of Judah, son and successor of Rehoboam exegesis:from אָב H1 and יָם H3220 ; father of (the) sea (i.e. seaman); explanation: Abijam (or Abijah), a king of Judah translation:Abijam.
H39	אֲבִימָאֵל	אבימאל	ʼĂbîymâʼêl	Abimael = "my father is El (God)" 1) son of Joktan, descendant of Shem exegesis:from אָב H1 and an elsewhere unused (probably foreign) word; father of Mael (apparently some Arab tribe); explanation: Abimael , a son of Joktan translation:Abimael.
H40	אֲבִימֶלֶךְ	אבימלך	ʼĂbîymelek	Abimelech = "Melek is father" or "my father is king" 1) king of Gerar in Abraham's time 2) king of Gath in David's time; maybe title of Philistine kings 3) son of Gideon by a concubine 4) priest, son of Abiathar exegesis:from אָב H1 and מֶלֶךְ H4428 ; father of (the) king; explanation: Abimelek , the name of two Philistine kings and of two Israelites translation:Abimelech.
