id	unicode_word	translit	pronunciation	full_definition
G00001	Α	A	al'-fah	1 of Hebrew origin; the first letter of the alphabet; figuratively, only (from its use as a numeral) the first: --Alpha. Often used (usually , before a vowel) also in composition (as a contraction from ) in the sense of privation; so, in many words, beginning with this letter; occasionally in the sense of union (as a contraction of ).
G00002	Ἀαρών	Aarṓn	ah-ar-ohn'	2 of Hebrew origin ( ); Aaron, the brother of Moses :--Aaron.
G00003	Ἀβαδδών	Abaddṓn	ab-ad-dohn'	3 of Hebrew origin ( ); a destroying angel :--Abaddon.
G00004	ἀβαρής	abarḗs	ab-ar-ace'	4 from (as a negative particle) and ; weightless, i.e. (figuratively) not burdensome :--from being burdensome.
G00005	Ἀββᾶ	Abbâ	ab-bah'	5 of Chaldee origin ( ); father as a vocative :--Abba.
G00006	Ἄβελ	Ábel	ab'-el	6 of Hebrew origin ( ); Abel, the son of Adam :--Abel.
G00007	Ἀβιά	Abiá	ab-ee-ah'	7 of Hebrew origin ( ); Abijah, the name of two Israelites :--Abia.
G00008	Ἀβιαθάρ	Abiathár	ab-ee-ath'-ar	8 of Hebrew origin ( ); Abiathar, an Israelite :--Abiathar.
G00009	Ἀβιληνή	Abilēnḗ	ab-ee-lay-nay'	9 of foreign origin (compare ); Abilene, a region of Syria :--Abilene.
G00010	Ἀβιούδ	Abioúd	ab-ee-ood'	10 of Hebrew origin ( ); Abihud, an Israelite :--Abiud.
G00011	Ἀβραάμ	Abraám	ab-rah-am'	11 of Hebrew origin ( ); Abraham, the Hebrew patriarch :--Abraham. (In Acts 7:16 the text should probably read Jacob.)
G00012	ἄβυσσος	ábyssos	ab'-us-sos	12 from (as a negative particle) and a variation of ; depthless, i.e. (specially) (infernal) "abyss" :--deep, (bottomless) pit.
G00013	Ἄγαβος	Ágabos	ag'-ab-os	13 of Hebrew origin (compare ); Agabus, an Israelite :--Agabus.
G00014	ἀγαθοεργέω	agathoergéō	ag-ath-er-gheh'-o	14 from and ; to work good :--do good.
G00015	ἀγαθοποιέω	agathopoiéō	ag-ath-op-oy-eh'-o	15 from ; to be a well-doer (as a favor or a duty) :--(when) do good (well).
G00016	ἀγαθοποιΐα	agathopoiḯa	ag-ath-op-oy-ee'-ah	16 from ; well-doing, i.e. virtue :--well-doing.
G00017	ἀγαθοποιός	agathopoiós	ag-ath-op-oy-os'	17 from and ; a well-doer, i.e. virtuous :--them that do well.
G00018	ἀγαθός	agathós	ag-ath-os'	18 a primary word; "good" (in any sense, often as noun) :--benefit, good(-s, things), well. Compare .
